theta,dL,kappa
-2.4321834364071,1.9378848846183787,0.00030940536528898234
-2.4315838444264863,1.9461802907516597,-7.955282449075875e-05
-2.431738668565584,1.9550675879248998,-0.00045975983826280326
-2.4326375301236016,1.964547448041108,-0.0008304055129076363
-2.4342689011548244,1.9746237877369364,-0.0011892368029881924
-2.4366171964352583,1.9852826690633127,-0.0013968125764591023
-2.4393902642352336,1.994520836004257,-0.0013530908223436014
-2.4420890320734054,1.9986898093018366,-0.001297427547254097
-2.444682187290411,1.9974022165886292,-0.0012559725590720959
-2.4471908696638773,1.9906565544093855,-0.0012270932555143558
-2.4496335908958398,1.9785064187162076,-0.001117481374026128
-2.4518445349671474,1.9678002561213412,-0.0008115831672351019
-2.453441568531497,1.9719532051527342,-0.0007637607869357522
-2.454947669063266,1.991539934403842,-0.006510449510553607
-2.46791348925446,2.0076869677638047,-0.01745934045326179
-2.5029663795482424,2.0048898532363726,-0.026319545021460396
-2.5557341683035926,1.9906097797292017,-0.024193567396294455
-2.603894120169218,1.980844120462253,-0.01888947607649313
-2.6413112277939708,1.9764006383573873,-0.013364794519351504
-2.6677254162135458,1.9748430311666134,-0.007756462185045489
-2.683043211506198,1.9744372000771684,-0.0021273126269649822
-2.6872434566930736,1.9741748373977512,0.003506516179298663
-2.6803209806849706,1.973779334798477,0.009144858242268782
-2.66227104846671,1.9737067897934915,0.013927702446497622
-2.63478184758182,1.9749421654626447,0.01414648823394262
-2.6068433514753715,1.9773712017949292,0.012842642592617508
-2.581448679857772,1.9803896512532797,0.011543742572404701
-2.558587571530638,1.9836199238971224,0.010259090905648189
-2.5382374344091123,1.9867240078486654,0.008993502196181969
-2.520369827681309,1.989403005216072,0.007748848038825795
-2.5049542461058985,1.9913964431386255,0.006524538592259681
-2.4919613031601453,1.9924813145962201,0.005317963586162043
-2.481365360083009,1.992471019606682,0.004146819921275199
-2.4731029415663364,1.9912643932869485,0.0033719820320684316
-2.4663884338110718,1.9896441183678422,0.0029302632017287203
-2.4605582528664796,1.9883267426157922,0.0024961827738021504
-2.4555950259028694,1.9873068293975316,0.0020595316812235176
-2.4515021045274112,1.9865585940815471,0.0016209349691078618
-2.448282022234081,1.98606073579723,0.0011809503953335249
-2.445936583022984,1.9857964738463463,0.0007400814481156211
-2.444466931892956,1.9857535742228898,0.0002987907545134862
-2.4438736070842357,1.9859243665801813,-0.00014248580073265523
-2.4441565731078025,1.9863057534026334,-0.0005833249298596642
-2.4453152347720866,1.986899211247862,-0.001023301519149394
-2.4473484317533543,1.9877107849367384,-0.0012006452107522097
-2.4497349671876503,1.988668163461465,-0.0002335989584731668
-2.450199517999384,1.9894071062298726,0.0010444300883615627
-2.448121721359636,1.9898247900544541,0.0023215635932858913
-2.4435022165700255,1.989952740334861,0.0035993569436792955
-2.436339666356504,1.989861076527333,0.003963006003173867
-2.42845383496474,1.989467806109802,-0.00016619457624744967
-2.4287844737237347,1.9878135821246172,-0.005691418245968368
-2.440097952214628,1.9846891438397218,-0.011269893900387275
-2.4624651882909636,1.9808366848731278,-0.01704051093513477
-2.4962196574802773,1.9774146865796556,-0.02552684043676037
-2.546696806661928,1.971024864343208,-0.036826945088852245
-2.619283631109895,1.9621964146118398,-0.04855172110944448
-2.7145516441941293,1.9602695871578597,-0.058273138426676564
-2.8287827052002417,1.9702576692821774,-0.062255592396422275
-2.95144226357506,1.9724480184311342,-0.0693925321998589
-3.08831542620666,1.9650263500320237,3.1163119887466446
3.0353197466043125,1.9612823908871804,-0.0835990168987692
2.871358466865193,1.966807980004476,-0.08040282033555747
2.713221558214272,1.9725615824698155,-0.07935675287513239
