packet,src_ip,src_port,dst_ip,dst_port,udp_payload_len,latitude_deg,longitude_deg,ads_id,gps_time_raw_ms,gps_time_s,gps_week,fs_message1,fs_message2,bat_state1,bat_state2,bat_state3,bat_state4,mpc_flags,posi_rms_m,lat_dev_m,dist_x_m,dist_y_m,x_rel_m,y_rel_m,x_rel_vut_m,y_rel_vut_m,ttc_s,heading_deg,speed_kmh,speed_e_kmh,speed_n_kmh,ax_mps2,ay_mps2,dyaw_dps,bvolt1_v,bvolt2_v,bvolt3_v,bvolt4_v,btemp1_c,btemp2_c,btemp3_c,btemp4_c,bcurr1_a,bcurr2_a,bcurr3_a,bcurr4_a,mtemp1_c,mtemp2_c,mtemp3_c,mtemp4_c,cpu_temp_c,steering_angle_deg,steering_pwm,mov_pwm1,mov_pwm2,mov_pwm3,mov_pwm4,brake_pwm,sr_sw1,sr_sw2,sr_sw3,sr_sw4,reserved,sender,version,message_id,counter,gnss_status,ins_status,soc1,soc2,soc3,soc4,operation_mode,test_state
16,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045640,274045.64,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,125,6,0,92,0,0,0,11,0
17,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045650,274045.65,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,126,6,0,92,0,0,0,11,0
18,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925206793,121.208700390378,1290924,274045650,274045.65,2421,83886080,65536,0,0,0,0,0,5.11533975601196,0,0,0,0,0,500000,0,0,0,0,0.02,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,126,6,0,92,0,0,0,11,0
19,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045660,274045.66,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,127,6,0,92,0,0,0,11,0
20,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045670,274045.67,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,128,6,0,92,0,0,0,11,0
21,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045670,274045.67,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,128,6,0,92,0,0,0,11,0
22,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045680,274045.68,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,129,6,0,92,0,0,0,11,0
23,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045690,274045.69,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,130,6,0,92,0,0,0,11,0
24,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045700,274045.7,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,131,6,0,92,0,0,0,11,0
25,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045700,274045.7,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,131,6,0,92,0,0,0,11,0
26,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045710,274045.71,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,132,6,0,92,0,0,0,11,0
27,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045720,274045.72,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,133,6,0,92,0,0,0,11,0
28,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045720,274045.72,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,133,6,0,92,0,0,0,11,0
29,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045730,274045.73,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,134,6,0,92,0,0,0,11,0
30,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045740,274045.74,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,135,6,0,92,0,0,0,11,0
31,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045740,274045.74,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,135,6,0,92,0,0,0,11,0
32,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045750,274045.75,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,136,6,0,92,0,0,0,11,0
33,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045760,274045.76,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,137,6,0,92,0,0,0,11,0
34,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045770,274045.77,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,138,6,0,92,0,0,0,11,0
35,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045770,274045.77,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,138,6,0,92,0,0,0,11,0
36,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045780,274045.78,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,139,6,0,92,0,0,0,11,0
