packet,src_ip,src_port,dst_ip,dst_port,udp_payload_len,latitude_deg,longitude_deg,ads_id,gps_time_raw_ms,gps_time_s,gps_week,fs_message1,fs_message2,bat_state1,bat_state2,bat_state3,bat_state4,mpc_flags,posi_rms_m,lat_dev_m,dist_x_m,dist_y_m,x_rel_m,y_rel_m,x_rel_vut_m,y_rel_vut_m,ttc_s,heading_deg,speed_kmh,speed_e_kmh,speed_n_kmh,ax_mps2,ay_mps2,dyaw_dps,bvolt1_v,bvolt2_v,bvolt3_v,bvolt4_v,btemp1_c,btemp2_c,btemp3_c,btemp4_c,bcurr1_a,bcurr2_a,bcurr3_a,bcurr4_a,mtemp1_c,mtemp2_c,mtemp3_c,mtemp4_c,cpu_temp_c,steering_angle_deg,steering_pwm,mov_pwm1,mov_pwm2,mov_pwm3,mov_pwm4,brake_pwm,sr_sw1,sr_sw2,sr_sw3,sr_sw4,reserved,sender,version,message_id,counter,gnss_status,ins_status,soc1,soc2,soc3,soc4,operation_mode,test_state
37,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045790,274045.79,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,140,6,0,92,0,0,0,11,0
38,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045790,274045.79,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,140,6,0,92,0,0,0,11,0
39,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045800,274045.8,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,141,6,0,92,0,0,0,11,0
40,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045810,274045.81,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,142,6,0,92,0,0,0,11,0
41,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045810,274045.81,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,142,6,0,92,0,0,0,11,0
42,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045820,274045.82,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,143,6,0,92,0,0,0,11,0
43,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045830,274045.83,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,144,6,0,92,0,0,0,11,0
44,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045840,274045.84,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,145,6,0,92,0,0,0,11,0
45,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045840,274045.84,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,145,6,0,92,0,0,0,11,0
46,192.168.88.100,31000,192.168.88.3,31100,176,31.2916925596344,121.208700394518,1290924,274045850,274045.85,2421,83886080,65536,0,0,0,0,0,5.11543369293213,0,0,0,0,0,500000,0,0,0,0,0,-0.02,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,146,6,0,92,0,0,0,11,0
47,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045860,274045.86,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,147,6,0,92,0,0,0,11,0
49,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045860,274045.86,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,147,6,0,92,0,0,0,11,0
50,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045870,274045.87,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,148,6,0,92,0,0,0,11,0
51,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045880,274045.88,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,149,6,0,92,0,0,0,11,0
52,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045880,274045.88,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,149,6,0,92,0,0,0,11,0
53,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045890,274045.89,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,0,0,0,0,0,0,0,0,0,0,11,240,1,150,6,0,92,0,0,0,11,0
54,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045900,274045.9,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,151,6,0,92,0,0,0,11,0
55,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045910,274045.91,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,152,6,0,92,0,0,0,11,0
56,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045910,274045.91,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,152,6,0,92,0,0,0,11,0
57,192.168.88.100,31000,192.168.88.3,31100,176,31.2916926177039,121.208700371612,1290924,274045920,274045.92,2421,83886080,65536,0,0,0,0,0,5.11552762985229,0,0,0,0,0,500000,0,0,0,0,0,-0.01,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,39,44,41,41,41,0,0,-1,-1,-1,-1,0,0,0,0,0,0,11,240,1,153,6,0,92,0,0,0,11,0
